sku_id,taxonomy_id,taxonomy_name,,,,,,,,,,,,,,,,,,
13834,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
20411,703c34c6-4fbe-45ea-982b-c0e4d194c9e7,BETA LACTAM,,,,,,,,,,,,,,,,,,
15019,85ef207a-ba3a-4d93-b3b7-eea5c395b822,HỖ TRỢ KHÔ MẮT,,,,,,,,,,,,,,,,,,
12962,66d520c8-0233-4138-89e9-121b2a5b7f2e,DẠ DÀY VIÊN,,,,,,,,,,,,,,,,,,
17463,0b019f22-ffe0-e4fc-f1cb-3a1909c581d2,HĂM - RÔM SẢY,,,,,,,,,,,,,,,,,,
10654,c3c1f0b3-c02f-4f73-9e5f-13e253d1c736,ĐỘNG KINH,,,,,,,,,,,,,,,,,,
12268,bd577672-d2a0-4762-bc2a-080678c3d26f,TRÀ VÀ BỘT PHA NƯỚC,,,,,,,,,,,,,,,,,,
26523,c7d64dae-63bd-4dc5-bd16-2c9d132961d6,TONER,,,,,,,,,,,,,,,,,,
17212,bd577672-d2a0-4762-bc2a-080678c3d26f,TRÀ VÀ BỘT PHA NƯỚC,,,,,,,,,,,,,,,,,,
2679,36b946c5-eaf5-f7de-017d-3a1909dc1086,NGỪA LÃO HÓA,,,,,,,,,,,,,,,,,,
17988,703c34c6-4fbe-45ea-982b-c0e4d194c9e7,BETA LACTAM,,,,,,,,,,,,,,,,,,
34271,f27b72c5-9625-4a1a-bea0-5443e4de7f1b,CÚM,,,,,,,,,,,,,,,,,,
34290,b8a1f38f-872b-40ba-ad11-fb88130cae1b,LAO,,,,,,,,,,,,,,,,,,
32710,226da885-db96-4dcb-9a60-38ec904cad85,TIÊU HÓA,,,,,,,,,,,,,,,,,,
27672,aa908a2b-3e5c-49c5-ab4c-ada735e2b835,VĂN PHÒNG PHẨM HO,,,,,,,,,,,,,,,,,,
37754,2f0d0b53-d8f7-44ff-bb83-3a0fdbe7efca,Kim Tiểu Đường,,,,,,,,,,,,,,,,,,
36616,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
44806,288106ec-f334-4858-8869-4bea3824f6d1,Nồng độ thuốc,,,,,,,,,,,,,,,,,,
811,4e91fa6d-563c-4a84-ba97-8e27d0f55634,TẨY TRANG,,,,,,,,,,,,,,,,,,
33178,8d086838-a566-ccba-2da0-3a0fe5e27927,BẠI LIỆT,,,,,,,,,,,,,,,,,,
27366,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
12396,c67c9163-d9a6-74c8-1d95-3a1909bdc061,DƯỠNG ẨM MẶT,,,,,,,,,,,,,,,,,,
11604,a717a565-963d-4256-93a3-8a2cd006d51c,HÀNG HÓA HÀNH CHÍNH,,,,,,,,,,,,,,,,,,
21538,5f2ed6cf-4002-bc65-0801-3a1909bb4fe2,DƯỠNG ẨM CHÂN,,,,,,,,,,,,,,,,,,
