id,unique_id,name,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43c0f281-db73-4205-95ff-79056ae0278a,1069,CHĂM SÓC CƠ THỂ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a0f5a9b-6208-4c7c-ae80-c5d90a2c010f,3875,5 TRONG 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661b9c5f-a168-43be-9a0a-24da81b07b13,1104,THUỐC BÙ ĐIỆN GIẢI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859c0323-53a0-4b65-991a-5d9da0e9cb4c,985,CHI PHÍ HOẠT ĐỘNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8e95be4-3c15-f036-f0ef-3a18fe1200d4,3945,DƯỠNG ẨM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1f74b88-715d-4e67-b031-57fe311a0af9,864,THUỐC KHÁNG NẤM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8decdf-96c7-4352-b84b-e076d10b374c,843,GẠC - GÒN - TĂM BÔNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9b27084-ba65-4878-ba37-feff44653a01,1040,TUYẾN GIÁP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c6f65f-c3be-4156-9054-cee0bc175d0a,979,KHÁC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528942a7-df3a-4198-abb2-3e7e3b98356d,3844,GAN MẬT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65bfd871-17f5-43ce-84b5-38b217d632f6,904,THUỐC TRỊ BỆNH TUYẾN TIỀN LIỆT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205f0b2-1953-4b4c-af2a-a900b3c1d092,1112,MARKETING,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce5fbf4d-7a1f-4182-8019-fce51375160a,3879,BỆNH SỐT VÀNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd95f414-74b7-45a0-a8ff-9b1762754dfb,983,VĂN PHÒNG PHẨM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012d1ba4-073d-1825-60d2-3a0fe61eb134,3914,SỐT VÀNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d1e716c-a856-4c36-a9ab-ba9f558fd4f3,3869,Phiếu Mua Hàng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dd7708b-570a-4eaf-bdcc-477c70113d3b,1070,CHĂM SÓC DA MẶT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e51e4367-6884-4ee9-af62-63a5d5c24f6c,3897,VIÊM GAN B VÀ VIÊM GAN A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768b6835-e84e-4642-9c3b-a0a2967e1309,988,SIRO GIẢM ĐAU HẠ SỐT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ab66588-2e0d-4b45-a3a8-9bd98fbfa778,3880,CÁC BỆNH DO PHẾ CẦU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d46f8470-304c-605c-605c-3a12b7173e18,3926,HUYẾT THANH KHÁNG VIÊM GAN B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
