code,confirm_status,creation_by,creation_time,eng_name,product_id,is_active,is_delete,last_modification_by,last_modification_time,name,name_ascii,note,question,reason,ref_code,short_name,type,upc_code,upc_id,industry_code,industry_name,replace_product,tenant_code,d
1238,Approved,,02:41.2,,22620,FALSE,FALSE,,06:09.1,BETOPTIC S 5ML,,,,,A121600001238,BETOPTIC S (Trùng mã 00001237),Normal,7.82848E+11,22620,3,THUỐC,,,3/1/2025
1239,Approved,,02:41.4,,22621,FALSE,FALSE,,06:09.2,BEUTICYSTINE,,,,,A121600001239,BEUTICYSTINE,Normal,7.82848E+11,22621,3,THUỐC,,,3/1/2025
1240,Approved,,21:17.9,,18181,TRUE,FALSE,,35:09.7,HOBEZUT ALL NATURAL 110ML - SIRO HO,HOBEZUT ALL NATURAL 110ML - SIRO HO,,,,B121600001240,HOBEZUT 110ML - SIRO HO,Normal,7.82849E+11,18181,7,TPCN,,,3/1/2025
1244,Approved,,21:18.6,,18183,TRUE,FALSE,,42:56.9,BIAFINE JNTL CONSUMER HEALTH 46.5G,BIAFINE JNTL CONSUMER HEALTH 46.5G,,,,A121600001244,BIAFINE JNTL CONSUMER HEALTH 46.5G,Normal,7.82848E+11,18183,3,THUỐC,,,3/1/2025
1245,Approved,,21:19.0,,18184,TRUE,FALSE,,42:56.9,BIAFINE 93G,BIAFINE 93G,,,,A121600001245,BIAFINE 93G,Normal,7.82848E+11,18184,3,THUỐC,,,3/1/2025
1247,Approved,,59:34.6,,14689,TRUE,FALSE,,37:32.4,BIBONLAX 5G HÀ NỘI 10 ỐNG,BIBONLAX 5G HÀ NỘI 10 ỐNG,,,,A121600001247,BIBONLAX 5G HN 10 ỐNG,Normal,7.82848E+11,14689,3,THUỐC,,,3/1/2025
1250,Approved,,59:35.7,,14692,FALSE,FALSE,,50:51.7,BICANMA BIDIPHAR 20 ỐNG,BICANMA BIDIPHAR 20 ỐNG,,,,A121600001250,BICANMA BDP 20 ỐNG,Normal,7.82848E+11,14692,3,THUỐC,,,3/1/2025
1254,Approved,,21:19.3,,18185,FALSE,FALSE,,20:40.7,BICLARY 500MG BVP 1X6,,,,,A121600001254,BICLARY 500 BVP 1X6,Normal,7.82848E+11,18185,3,THUỐC,"['00021689' '00020860' '00006321' '00004197' '00014758' '00001157'
 '00029931' '00010308' '00015129' '00001911' '00001606']",,3/1/2025
1256,Approved,,02:45.8,,22627,FALSE,FALSE,,06:09.5,BIDICA,,,,,A121600001256,BIDICA,Normal,7.82848E+11,22627,3,THUỐC,,,3/1/2025
1258,Approved,,59:36.1,,14693,FALSE,FALSE,,04:30.0,BIDIZYM KABI BIDIPHAR 1X12,,,,,A121600001258,BIDIZYM KABI BDP 1X12,Normal,7.82848E+11,14693,3,THUỐC,,,3/1/2025
1261,Approved,,21:19.9,,18187,FALSE,FALSE,,00:51.7,BIGIKO 40MG BVPHARMA 3X10,BIGIKO 40MG BVPHARMA 3X10,,,,A121600001261,BIGIKO 40MG 3X10,Normal,7.82848E+11,18187,3,THUỐC,,,3/1/2025
1263,Approved,,21:20.6,,18189,FALSE,FALSE,,03:40.4,BIHASAL 5MG HASAN 3X10,BIHASAL 5MG HASAN 3X10,,,,A121600001263,BIHASAL 5 HASAN 3X10,Normal,7.82848E+11,18189,3,THUỐC,,,3/1/2025
1264,Approved,,59:36.5,,14694,TRUE,FALSE,,06:38.2,BILCLAMOS BID 1000MG BILIM 2X7,BILCLAMOS BID 1000MG BILIM 2X7,,,,A121600001264,BILCLAMOS BID 1000 2X7,Normal,7.82848E+11,14694,3,THUỐC,,,3/1/2025
1265,Approved,,59:37.0,,14695,FALSE,FALSE,,34:00.0,BILL ALOVERA 50V,,,,,B121600001265,BILL ALOVERA 50V,Normal,7.82848E+11,14695,7,TPCN,,,3/1/2025
1266,Approved,,47:07.0,,21686,FALSE,FALSE,,38:30.9,BILL PLACENTA - ALOEVERA - VITAMIN E 100V - VIÊN BÔI NHAU THAI CỪU KẾT HỢP NHA ĐAM,BILL PLACENTA - ALOEVERA - VITAMIN E 100V - VIÊN BÔI NHAU THAI CỪU KẾT HỢP NHA ĐAM,,,,C121600001266,BILL ALOEVERA - VITAMIN E 100V,Normal,7.82848E+11,21686,5,DƯỢC MỸ PHẨM,,,3/1/2025
1267,Approved,,02:48.9,,22630,FALSE,FALSE,,02:48.9,BILL ROYALJELLY 50 VIÊN,,,,,Z121600001267,BILL ROYALJELLY 50 VIÊN,Normal,7.82848E+11,22630,11,KHÁC,,,3/1/2025
1273,Approved,,21:21.4,,18191,TRUE,FALSE,,37:32.4,BINEX METONE 500MG 10X10,BINEX METONE 500MG 10X10,,,,A121600001273,BINEX METONE 500 10X10,Normal,7.82848E+11,18191,3,THUỐC,,,3/1/2025
1275,Approved,,02:50.8,,22633,FALSE,FALSE,,02:50.8,BINOZYT 250MG,,,,,A121600001275,BINOZYT 250MG,Normal,7.82848E+11,22633,3,THUỐC,,FVAC,3/1/2025
1277,Approved,,02:51.1,,22635,FALSE,FALSE,,02:51.1,BIO CURMIN,,,,,A121600001277,BIO CURMIN,Normal,7.82848E+11,22635,3,THUỐC,,,3/1/2025
1278,Approved,,02:51.2,,22636,FALSE,FALSE,,02:51.2,BIO FLEX 60 VIÊN,,,,,A121600001278,BIO FLEX 60 VIÊN,Normal,7.82848E+11,22636,3,THUỐC,,,3/1/2025
